iteration,seed_0,seed_1,seed_2,seed_3,seed_4
0,-506.8918545440194,-2432.622492545531,-398.65405227951555,-28991.64586954077,-35032.868689471274
10,-225.49729939079072,-2005.2945028631675,-266.08778266027684,-15686.679869237822,-5658.742003216673
20,-215.7848276831397,-389.99331924664716,-189.49216814403127,-6953.853014812962,-188.69776176618774
30,-269.1110191419309,-905.3188723573278,-190.5454499661314,-902.8345603937245,-373.8966593353506
40,-121.12386545359232,-248.72169047776248,-41.296468542072546,-1257.7823107035367,-85.02795399825405
50,-102.05868691222602,-367.74967467527705,-9.820780727437992,-768.1448955199654,-56.81158083284521
60,-128.8599375238021,-237.57528408896638,-12.241728149039021,-548.6345309515118,-19.370169274305603
70,-13.273678573590598,-171.84531761331328,-14.388564919751772,-1095.1039394931838,-11.996932618763516
80,-12.574917321305037,-295.7068700891528,-17.593914302740906,-676.0884295726729,-15.060089837256873
90,-13.869008116358145,-138.39349999447447,-12.655973734316131,-632.9347980808343,-10.781318518936036
100,-11.886630894152555,-147.42233276164265,-12.984892713611453,-579.8010012867346,-9.647659576644696
110,-8.07441957600625,-60.07703153650857,-8.372476036832275,-459.4638360363275,-12.87211081197953
120,-8.358839598557026,-46.404243195396745,-9.613573194237569,-539.6996744463449,-13.508451343275578
130,-12.821545586732658,-109.08249342272082,-12.064696588709321,-290.54413891113245,-10.37730784494946
140,-11.932752885119019,-16.797460352723263,-9.73024077601794,-537.9945772923057,-12.686448875119966
150,-12.726994538138744,-12.310400836392752,-12.20036329316744,-931.4890284936,-13.900056487330804
160,-12.252542823213219,-12.08254484007232,-12.027366087497949,-474.0377464075993,-12.867163177122785
170,-15.291969947083198,-13.03313168748539,-9.654701758175618,-355.8488789038111,-14.290619192963074
180,-11.773612906105452,-9.181429727938639,-10.090139579494911,-720.6378144084139,-13.325433998836749
190,-14.3479809355833,-11.885899089504239,-11.114864332576717,-193.75012947525298,-15.208181935943022
